"station";"x_utm";"y_utm";"WB_name";"TYP_NFS06";"WB_ID";"area";"institution";"type";"typology";"chla";"country";"date";"station_depth";"secchi";"temp";"sali";"TP";"TN";"dens_dif";"springlag";"year";"month";"obspoint";"period";"MSMDI";"logitMSMDI";"BQI"
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";1.01;"SE";2001-01-09;37;1.4;4.0375;18.11075;0.8125;32.4;9.49369926501538;1;2001;1;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";0.525;"SE";2001-02-06;36;3.5;0.4125;22.385;0.9175;27.1;8.90098018513982;1;2001;2;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";0.9;"SE";2001-02-21;37;3.5;3.726;26.5264;;;7.89080271990349;1;2001;2;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";2.1;"SE";2001-03-01;38;4;0.9675;22.06175;0.7625;28;9.44519570006332;1;2001;3;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";6.595;"SE";2001-03-06;36;6.5;1.035;23.15425;0.68;21.5;7.56048392253251;1;2001;3;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";5.6;"SE";2001-03-07;36;;0.946;19.326;;;12.8710923655285;1;2001;3;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";16.1;"SE";2001-03-13;38.5;7;1.6575;21.43;;;9.69303837572647;1;2001;3;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";7.2;"SE";2001-03-21;38;3.5;1.62;20.3778;;;12.5432725851857;1;2001;3;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";4.5;"SE";2001-03-27;38;2.9;2.05;18.0545;;;11.7095691159971;1;2001;3;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";3.5;"SE";2001-04-03;37;2.7;2.936;15.489;0.335;29.475;16.7419619230242;1;2001;4;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";3.1;"SE";2001-04-10;39;1.8;4.2075;18.18775;;;13.5767892658955;1;2001;4;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";4.4;"SE";2001-04-18;37.5;5.7;4.815;23.8955;;;8.06024687042702;1;2001;4;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";8.8;"SE";2001-04-25;37;2.4;5.7725;20.3715;;;11.9808452662097;1;2001;4;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";5.2;"SE";2001-05-02;37;3.6;7.18;17.9625;;;13.2833080432481;1;2001;5;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";1.5;"SE";2001-05-08;36;4.8;7.47;19.85075;0.4375;23.575;13.359429194179;1;2001;5;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";2.4;"SE";2001-05-17;38;3.8;10.4875;16.928;;;15.5466093245557;1;2001;5;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";1.9;"SE";2001-05-22;39;2.9;7.85;24.059;;;10.8300760071778;1;2001;5;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";3.3;"SE";2001-05-30;37;4;11.73;18.8435;;;14.1992897008878;1;2001;5;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";1.8;"SE";2001-06-05;39;5;12.8575;20.292;0.39;18.35;12.0227735922711;1;2001;6;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";3.2;"SE";2001-07-03;38;6;16.535;19.5095;0.386666666666667;22.025;12.2287009496068;1;2001;7;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";7.145;"SE";2001-08-07;38;4;17.4875;17.5695;0.5075;24.05;13.6341071801129;1;2001;8;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";3.505;"SE";2001-09-04;39;6;16.6475;21.557;0.4525;24.225;10.3990991752516;1;2001;9;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";5.7;"SE";2001-10-02;39;6;13.0075;18.5045;0.5025;21.1;13.2166406257018;1;2001;10;"DANAFJORD";"2001-2006";;;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";1.525;"SE";2001-11-06;37;4;10.7225;27.3945;0.78;21.55;4.23541704007323;1;2001;11;"DANAFJORD";"2001-2006";;;
